longitude,latitude,start_time,end_time,investing_company,destination_country,destination_sector,project_type,destination_city,investment,private_public,product,link,title,local_partner,project
-2.5967637,-44.380513,2017-05-01,2020-01-30,China Communications Construction Company; Industrial and Commercial Bank of China (ICBC),Brasil,Logística,Nuevo,"São, Luís Maranhão",2600,Público,Soja,https://dialogochino.net/es/infraestructura-es/30051-conflicto-entre-el-mega-puerto-de-sao-luis-y-comunidad-tradicional-se-agrava/,Terminal de Uso Privado Porto São Luís,WPR-São Luís Gestão de Portos e Terminais,"CCCC y WPR se unieron para construir la Terminal de Uso Privado Porto São Luís con fondos del ICBC. CCCC es responsable del 51% del proyecto.
"
-23.3288939,-51.2448394,2017-05-01,2020-01-30,Pengxin Dakang Food e Agriculture,Brasil,Integrado verticalmente,Fusiones y adquisiciones,Londrina (PR),253,Privado,Soja,https://dialogochino.net/es/comercio-y-inversiones-es/9762-washington-deberia-tomar-nota-del-avance-de-china-en-brasil/,Belagrícola,Belagrícola,"Belagrícola-  control de acciones - 53,99% "
-25.5046026,-48.5052368,2017-09-03,2020-01-30,China Merchants Port Holding (CMPorts),Brasil,Logística,Fusiones y adquisiciones,Paraná,16000,Privado,Soja,https://dialogochino.net/es/infraestructura-es/23265-demanda-china-de-soja-empuja-el-agronegocio-hacia-la-amazonia/,Terminal de Contêineres de Paranaguá,Terminal de Contêineres de Paranaguá,Terminal de Contêineres de Paranaguá (TCP) - 90%
-32.9267251,-60.6606175,2018-02-01,2020-01-30,Nanjing Red Sun Co. Ltd.,Argentina,Producción,Fusiones y adquisiciones,Rosario,23,Privado,Soja,,Ruralco Soluciones SA,Ruralco Soluciones SA,Compra de una empresa conjunta dedicada a la venta de productos químicos agrícolas / Ruralco Soluciones SA
-23.566784,-46.701057,2018-02-01,2020-01-30,China Construction Bank,Brasil,Logística,préstamo,São Paulo,1,Privado,Soja,https://dialogochino.net/es/infraestructura-es/23265-demanda-china-de-soja-empuja-el-agronegocio-hacia-la-amazonia/,Hidrovias do Brasil,Hidrovias do Brasil,Hidrovias obtuvo US$1 billion en financiamiento de China Construction Bank y firmó un contrato con Cofco para usar sus puertos para exportar granos
-23.593952,-46.687181,2018-02-07,2020-01-30,Syngenta [Chemchina],Brasil [Mundo],Producción,Fusiones y adquisiciones,São Paulo,0,Público,Soja,https://dialogochino.net/es/es-es/1697-por-que-las-companias-agricolas-chinas-son-tan-activas-en-latinoamerica-y-el-caribe/,Syngenta compra Nidera,Semillas Nidera ,"Syngenta, ahora controlado por Chemchina, compra Nidera Seeds de Cofco."
-5.937191,-48.1374111,2018-03-01,2020-01-30,Nuevo Development Bank,Brasil,Logística,préstamo,"São, Luís Maranhão",71,Público,Soja,https://dialogochino.net/es/infraestructura-es/27080-sitiados-por-el-progreso/,Puerto de Itaqui en Maranhão,Puerto de Itaqui en Maranhao,"Pavimentado de la carretera MA-006, que conecta la región productora de granos con el puerto de Itaqui en Maranhão"
-7.234127,-55.3529537,2018-03-01,2020-01-30,Nuevo Development Bank,Brasil,Logística,préstamo,"Sinop, Mato Grosso",50,Público,Soja,,Mato Grosso región productora de granos,Mato Grosso región productora de granos,"Pavimentado de carreteras y construcción de infraestructura junto a la BR-163, una de las principales rutas de exportación para la región productora de granos de Mato Grosso"
-34.5998305,-58.3870515,2018-11-01,2020-01-30,China EXIM Bank,Argentina,Logística,préstamo,Ciudad de Buenos Aires,1100,Público,Soja,https://dialogochino.net/es/infraestructura-es/30573-los-trenes-chinos-avanzan-lentamente-en-america-latina/,Ministerio de Transporte,Ministerio de Transporte,Reactivación del tren de cargas San Martín / Ministerio de Transporte - China Railway Construction Co. Ltd. Sucursal Argentina
-34.5906892,-58.3785146,2010-07-01,2020-01-30,China Development Bank,Argentina,Logística,préstamo,Ciudad de Buenos Aires,10000,Público,Carne,https://dialogochino.net/es/infraestructura-es/30573-los-trenes-chinos-avanzan-lentamente-en-america-latina/,Ministerio de Planificación Federal,Ministerio de Planificación Federal,"Sistema ferroviario / Ministerio de Planificación Federal, Inversión Pública y Servicios - China Machinery Engineering Argentina S.A."
-34.5906892,-58.3785146,2013-09-01,2020-01-30,China South Locomotive & Rolling Stock Corporation (CSR),Argentina,Logística,Fusiones y adquisiciones,Ciudad de Buenos Aires,8.7,Público,Carne,https://dialogochino.net/es/infraestructura-es/30573-los-trenes-chinos-avanzan-lentamente-en-america-latina/,Emprendimientos Ferroviarios S.A.,Emprendimientos Ferroviarios S.A.,Renovación de sistema ferroviario / Emprendimientos Ferroviarios S.A.
-34.3347538,-57.3621288,2015-07-01,2020-01-30,Sundiro Holding Co Ltd,Uruguay,Procesamiento,Fusiones y adquisiciones,Colonia,40,Privado,Carne,https://dialogochino.net/es/agricultura-es/30273-uruguay-apunta-al-mercado-chino-con-carne-sin-antibioticos/,Rondatel S.A.,Rondatel S.A.,Compra de planta de procesamiento de carne/ Rondatel S.A.
-31.399377,-64.3344291,2016-01-01,2020-01-30,Foresun Group,Argentina,Procesamiento,Fusiones y adquisiciones,Cordoba,75,Privado,Carne,https://dialogochino.net/es/agricultura-es/32059-rastreando-la-impronta-china-de-la-soja-y-la-carne-en-america-latina/,Estancias del Sur S.A.,Estancias del Sur S.A.,Compra y reactivación de planta de procesamiento de carne / Estancias del Sur S.A.
-18.821584,-58.6081682,2016-11-01,2020-01-30,EverChina Int’l Holdings Company Limited,Bolivia,Producción,Fusiones y adquisiciones,Santa Cruz de la Sierra,6,Privado,Carne,https://dialogochino.net/es/agricultura-es/28326-bolivia-celebra-llegada-de-su-carne-a-china-pero-teme-la-deforestacion/,Sociedad Agropecuaria Argotanto S.A,Sociedad Agropecuaria Argotanto S.A,Compra de planta de procesamiento de carne / Sociedad Agropecuaria Argotanto S.A
-34.7380539,-56.2813854,2017-07-01,2020-01-30,"Sundiro Holding Co Ltd, LatAm Value Partners Ltd",Uruguay,Procesamiento,Fusiones y adquisiciones,Montevideo,16,Privado,Carne,https://dialogochino.net/es/agricultura-es/30273-uruguay-apunta-al-mercado-chino-con-carne-sin-antibioticos/,Lorsinal SA,Lorsinal SA,Compra de planta de procesamiento de carne / Lorsinal SA
-17.7513156,-63.1807226,2017-09-01,2020-01-30,EverChina Int’l Holdings Company Limited,Bolivia,Producción,Fusiones y adquisiciones,Santa Cruz de la Sierra,46,Privado,Carne,https://dialogochino.net/es/agricultura-es/28326-bolivia-celebra-llegada-de-su-carne-a-china-pero-teme-la-deforestacion/,Empresa Agropecuaria Novagro SA,Empresa Agropecuaria Novagro SA,Compra de empresa ganadera / Empresa Agropecuaria Novagro SA
-34.8308784,-56.2484594,2017-11-01,2020-01-30,Sundiro Holding Co Ltd,Uruguay,Procesamiento,Fusiones y adquisiciones,Montevideo,42,Privado,Carne,https://dialogochino.net/es/agricultura-es/30273-uruguay-apunta-al-mercado-chino-con-carne-sin-antibioticos/,Lirtix S.A.,Lirtix S.A.,Compra de planta de procesamiento de carne/ Lirtix S.A.
-34.0987427,-56.1988046,2018-05-01,2020-01-30,HeZhong Xian Group,Uruguay,Procesamiento,Fusiones y adquisiciones,Departamento de Florida,11,Privado,Carne,https://dialogochino.net/es/agricultura-es/30273-uruguay-apunta-al-mercado-chino-con-carne-sin-antibioticos/,Frigorífico Florida,Frigorífico Florida,Compra de planta de procesamiento de carne / Frigorífico Florida
-34.5998305,-58.3870515,2018-11-01,2020-01-30,China EXIM Bank,Argentina,Logística,préstamo,Ciudad de Buenos Aires,1100,Público,Carne,https://dialogochino.net/es/clima-y-energia-es/12583-con-nuevos-aliados-argentina-analiza-su-relacion-con-china/,Ministerio de Transporte,Ministerio de Transporte,Reactivación del tren de cargas San Martín / Ministerio de Transporte- China Railway Construction Co. Ltd. Sucursal Argentina
